country,segment,sales_rep_id,sales_team_name,pcid_count,impact_calls_90d,impact_calls_per_account,segment_avg_coverage,too_big
DACH,M,20963,DE-M-DE-DUSS-1,94,214,2,1.23,false
DACH,M,21193,DE-M-DE-DUSS-3,105,200,1,1.23,true
DACH,M,29573,DE-M-PSE-DUSS-1,147,259,1,1.23,true
DACH,M,34786,DE-M-DE-DUSS-1,100,327,3,1.23,false
DACH,M,38356,DE-M-DE-DUB-1,81,161,1,1.23,true
DACH,M,38465,DE-M-DE-DUB-1,83,149,1,1.23,true
DACH,M,39671,DE-M-DE-DUSS-3,109,248,2,1.23,false
DACH,M,41360,DE-M-DE-DUSS-1,96,323,3,1.23,false
DACH,M,41363,DE-M-SA-DUSS-1,168,244,1,1.23,true
DACH,M,41364,DE-M-DE-DUB-1,107,7,0,1.23,true
DACH,M,41802,DE-M-PSE-DUSS-1,133,242,1,1.23,true
DACH,M,42732,DE-M-DE-DUB-1,69,114,1,1.23,true
DACH,M,42738,DE-M-DE-DUB-1,88,205,2,1.23,false
DACH,M,43163,DE-M-DE-DUB-1,96,174,1,1.23,true
DACH,M,45187,DE-M-DE-DUB-1,94,140,1,1.23,false
DACH,M,46336,DE-M-DE-DUB-1,48,50,1,1.23,false
DACH,M,46542,DE-M-DE-DUB-1,57,41,0,1.23,false
DACH,NAM,1726,DE-NAM-SA-DUSS-1,13,18,1,4.51,true
DACH,NAM,3632,DE-NAM-SA-DUSS-2,14,71,5,4.51,false
DACH,NAM,5492,DE-NAM-B2B-DUSS-1,11,71,6,4.51,false
DACH,NAM,7992,DE-NAM-RHLOG-DUSS-1,16,3,0,4.51,true
DACH,NAM,7996,CH-NAM-ACCSA-ZRH-1,63,28,0,4.51,true
DACH,NAM,8327,DE-NAM-B2B-DUSS-1,8,18,2,4.51,false
DACH,NAM,8756,DE-NAM-SA-DUSS-1,15,1,0,4.51,true
DACH,NAM,8985,DE-NAM-HC-DUSS-1,11,92,8,4.51,true
DACH,NAM,9018,DE-NAM-SA-DUSS-1,18,31,1,4.51,true
DACH,NAM,9589,DE-NAM-RHLOG-DUSS-1,5,46,9,4.51,true
DACH,NAM,10383,DE-NAM-ACCSA-DUSS-2,39,6,0,4.51,true
DACH,NAM,11132,DE-NAM-PSE-DUSS-1,26,83,3,4.51,true
DACH,NAM,11711,DE-NAM-RHLOG-DUSS-1,10,67,6,4.51,false
DACH,NAM,12056,DE-NAM-PSE-DUSS-1,16,86,5,4.51,false
DACH,NAM,14424,DE-NAM-SA-DUSS-2,11,0,0,4.51,false
DACH,NAM,14779,DE-NAM-SA-DUSS-1,15,28,1,4.51,true
DACH,NAM,14852,DE-NAM-SA-DUSS-2,19,51,2,4.51,true
DACH,NAM,15810,DE-NAM-MCU-DUSS-1,10,63,6,4.51,false
DACH,NAM,16184,DE-NAM-SA-DUSS-1,18,35,1,4.51,true
DACH,NAM,16494,DE-NAM-MCU-DUSS-1,9,78,8,4.51,false
DACH,NAM,17145,DE-NAM-MCU-DUSS-1,11,33,3,4.51,true
DACH,NAM,17512,DE-NAM-HC-DUSS-1,10,103,10,4.51,false
DACH,NAM,18273,DE-NAM-B2B-DUSS-1,11,54,4,4.51,true
DACH,NAM,18500,DE-NAM-RHLOG-DUSS-1,4,81,20,4.51,false
DACH,NAM,19055,DE-NAM-B2B-DUSS-1,11,51,4,4.51,false
DACH,NAM,24604,DE-NAM-PSE-DUSS-1,24,108,4,4.51,true
DACH,NAM,25434,DE-NAM-SA-DUSS-1,9,8,0,4.51,false
DACH,NAM,25450,DE-NAM-SA-DUSS-2,17,28,1,4.51,true
DACH,NAM,26627,DE-NAM-PSE-DUSS-1,13,103,7,4.51,false
DACH,NAM,26654,CH-NAM-ACCSA-ZRH-1,29,27,0,4.51,true
DACH,NAM,26793,DE-NAM-HC-DUSS-1,10,106,10,4.51,false
DACH,NAM,27353,DE-NAM-HC-DUSS-1,11,122,11,4.51,false
DACH,NAM,28905,DE-NAM-MCU-DUSS-1,12,29,2,4.51,false
DACH,NAM,29671,DE-NAM-B2B-DUSS-1,11,20,1,4.51,false
DACH,NAM,31674,DE-NAM-RHLOG-DUSS-1,4,36,9,4.51,false
DACH,NAM,33776,DE-NAM-SA-DUSS-2,16,55,3,4.51,true
DACH,NAM,34790,DE-NAM-HC-DUSS-1,12,110,9,4.51,false
